action_count,bot_fingerprint_score,click_intervals_count,click_timestamps_count,click_timestamps_max,click_timestamps_mean,click_timestamps_min,cursorAngleVariance,cursor_acceleration_count,cursor_acceleration_max,cursor_acceleration_mean,cursor_acceleration_std,cursor_curvature_count,cursor_curvature_max,cursor_curvature_mean,cursor_curvature_min,cursor_curvature_std,cursor_movement_entropy,cursor_movements_count,cursor_movements_mean_distance,cursor_movements_total_distance,cursor_speeds_count,cursor_speeds_max,cursor_speeds_mean,cursor_speeds_min,cursor_speeds_std,hesitation_count,hesitation_mean,hesitation_min,idle_time,is_automated_browser,key_hold_times_count,key_press_times_count,keyboard_patterns_count,keyboard_patterns_max,keyboard_patterns_mean,keyboard_patterns_min,label,micropause_count,micropause_min,mouseJitter_count,mouse_angle_entropy,mouse_movement_debug_currentSpeed,mouse_movement_debug_distance,mouse_movement_debug_dx,mouse_movement_debug_dy,mouse_num_pauses,paste_detected,scroll_changes,scroll_speed_mean,scroll_speed_std,scroll_speeds_count,scroll_speeds_mean,scroll_speeds_std,speed_calculation_debug_filteredSpeed,speed_calculation_debug_latestSpeed,speed_calculation_debug_rawSpeed,typing_interval_entropy
32,0.1,0,1,1749715718595.0,1749715718595.0,1749715718595.0,,4,4.244795379135876,2.9382576518752734,1.6535348375529735,1,1.1866685806891215,1.1866685806891215,1.1866685806891215,0.0,2.2055983590263937,5,15.562823434798675,62.2512937391947,4,305.4835245085242,253.54376344144688,215.96485727781632,32.531520964647655,0,0.0,0.0,0,True,13,12,13,1749715723086.0,1749715721473.7693,1749715719790.0,0,0,0.0,0,1.098618396203428,215.96485727781632,10.770329614269007,10,-4,1.0,False,0,,,0,0.0,0.0,215.96485727781632,215.96485727781632,215.96485727781632,1.67301329199596
14,0.5,0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,False,15,13,14,1749715763486.0,1749715761951.2144,1749715760434.0,0,0,0.0,0,,0.0,0.0,0,0,,False,0,,,0,0.0,0.0,0.0,0.0,0.0,1.8637790812439547
153,0.5,0,1,1749715849632.0,1749715849632.0,1749715849632.0,,19,11.670170091053748,3.799070476858818,2.9732973269472134,3,1.1789463475750146,0.7763468239349641,0.44935953053264,0.30261321619260456,2.199725596820319,15,14.828892887341198,207.60450042277677,19,649.4172629797353,245.01824708183057,13.143489528196769,172.61195682019778,0,0.0,0.0,0,False,12,10,11,1749715853644.0,1749715851979.3635,1749715850264.0,1,0,0.0,0,1.4127505199419248,26.315997166898377,6.082762530298219,6,1,1.0,False,0,,,0,0.0,0.0,26.315997166898377,26.315997166898377,26.315997166898377,1.6787233230631866
138,0.5,0,1,1749715864359.0,1749715864359.0,1749715864359.0,,15,14.70793382356805,5.494238780206668,4.115886573603953,2,1.2521194824376152,0.8264148003964187,0.4007101183552222,0.4257046820411965,2.2071079677498235,11,22.1638339956486,221.638339956486,15,746.6434124825449,341.9126806608122,13.028820735136248,208.91771292254583,0,0.0,0.0,0,False,11,10,11,1749715866977.0,1749715866007.0,1749715865062.0,1,0,0.0,0,0.6837604057019426,89.7491472168147,9.219544457292887,9,2,1.0,False,0,,,0,0.0,0.0,89.7491472168147,89.7491472168147,89.7491472168147,1.4286854913040945
142,0.5,0,1,1749715874726.0,1749715874726.0,1749715874726.0,,14,15.387370764744055,4.76395814114686,4.5503851343627915,3,1.4336326646489483,0.8674379123348986,0.5371439751023489,0.402210466081571,2.1788840333607156,16,16.771028139975346,251.5654220996302,14,809.5786250868048,272.59284033049056,43.38330294790341,222.59180590001336,0,0.0,0.0,0,False,12,11,12,1749715879360.0,1749715877236.25,1749715875505.0,1,0,0.0,0,1.2963739695238061,162.45296298659662,11.180339887498949,10,-5,1.0,False,0,,,0,0.0,0.0,162.45296298659662,162.45296298659662,162.45296298659662,1.613935784371987
114,0.5,0,1,1749715885692.0,1749715885692.0,1749715885692.0,,18,15.903425249315104,5.747705265760656,5.357343585876018,2,0.5424214076757881,0.48064281967897227,0.4188642316821565,0.06177858799681579,1.9515924269991507,14,15.992866497261899,207.90726446440468,18,1000.5139363366554,392.62150358414806,19.59323872489002,336.72463668069076,0,0.0,0.0,0,False,9,8,9,1749715891602.0,1749715889827.0,1749715888271.0,0,0,0.0,0,1.4451966753897485,19.59323872489002,6.082762530298219,6,-1,1.0,False,0,,,0,0.0,0.0,19.59323872489002,19.59323872489002,19.59323872489002,1.2869286260492028
148,0.5,0,1,1749715904504.0,1749715904504.0,1749715904504.0,,19,15.085154225050045,4.779288564041718,4.99658422557992,2,1.1810795243146284,0.7727176381145434,0.3643557519144585,0.40836188620008496,2.1028657720503716,14,16.825110349455876,218.7264345429264,19,784.5280197026024,305.27340772515,14.105569927376596,277.64469420719456,0,0.0,0.0,0,False,14,13,14,1749715908783.0,1749715907416.6428,1749715905639.0,1,0,0.0,0,0.983106469947143,54.44456855621586,7.0,7,0,2.0,False,0,,,0,0.0,0.0,54.44456855621586,54.44456855621586,54.44456855621586,1.7929635814279092
137,0.5,0,1,1749715916506.0,1749715916506.0,1749715916506.0,,16,15.97124807098769,4.669398820124222,4.797310730921985,2,1.765372418797747,1.2335922960970356,0.7018121733963242,0.5317801227007114,2.13650705762401,12,21.017512283685484,231.19263512054033,16,859.5840708140772,300.5133052885447,18.321934882923998,260.0753284084607,0,0.0,0.0,0,False,12,11,12,1749715921690.0,1749715919916.0,1749715917562.0,1,0,0.0,0,0.8979651457229844,25.635379670739663,7.280109889280518,7,-2,1.0,False,0,,,0,0.0,0.0,25.635379670739663,25.635379670739663,25.635379670739663,1.7505282134893623
145,0.5,0,1,1749715928260.0,1749715928260.0,1749715928260.0,,18,13.50050025112834,5.262174055553045,4.658059788362785,2,0.8866577370227575,0.581279915788918,0.2759020945550785,0.3053778212338395,2.080115852756261,14,16.483861520291388,214.29019976378802,18,766.1817555567062,337.32914231529793,16.630433258649727,275.66667457180404,0,0.0,0.0,0,False,20,18,19,1749715938370.0,1749715933197.5789,1749715930346.0,1,0,0.0,0,1.011413363060916,199.2651485982708,10.04987562112089,10,1,1.0,False,0,,,0,0.0,0.0,199.2651485982708,199.2651485982708,199.2651485982708,0.8233312181792241
158,0.5,0,1,1749715944888.0,1749715944888.0,1749715944888.0,,24,13.474926418612068,4.301877233154968,4.043794301788347,3,0.7777107866385454,0.6029254606076151,0.36019853740698615,0.1770897419089657,2.0757492524972707,18,13.171104041331883,223.90876870264202,24,730.6153749288517,269.60024001994265,12.912101210893905,232.4950946506949,0,0.0,0.0,0,False,10,9,10,1749715953003.0,1749715952126.8,1749715950941.0,1,0,0.0,0,1.0609767792101146,46.660657061194975,8.0,8,0,1.0,False,0,,,0,0.0,0.0,46.660657061194975,46.660657061194975,46.660657061194975,1.9070208614865507
